f_name, R_at_min_dG/dR, min_dG/dR, max_G, R_at_max_G
datasets/barred_galaxies/poisson_noise_bg_run662.01000_1_highres.fits.png,300.0,0.20825618190548775,0.23186462807890867,228.0
datasets/barred_galaxies/poisson_noise_bg_run695.01400_2_highres.fits.png,168.0,0.11581643366253429,0.13707295767309519,72.0
datasets/barred_galaxies/poisson_noise_bg_run688.00500_3_highres.fits.png,192.0,0.10316343389979687,0.1199131825697807,120.0
datasets/barred_galaxies/poisson_noise_bg_run.373.std_2_highres.fits.png,300.0,0.27576164448127444,0.28753491067856257,252.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708.00600_3_highres.fits.png,180.0,0.20215111799487612,0.23714272560229738,132.0
datasets/barred_galaxies/poisson_noise_bg_run662.00900_4_highres.fits.png,228.0,0.20577698306052064,0.2388609890610327,168.0
datasets/barred_galaxies/poisson_noise_bg_run671.00700_4_highres.fits.png,192.0,0.13403880262663223,0.15241978737783085,144.0
datasets/barred_galaxies/poisson_noise_bg_run688.00900_4_highres.fits.png,192.0,0.10865227530610443,0.12611666197831578,120.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708main.00600_3_highres.fits.png,168.0,0.21533366808505724,0.24401163022288624,120.0
datasets/barred_galaxies/poisson_noise_bg_run662c.00800_4_highres.fits.png,192.0,0.1689754318805956,0.19686315714108335,132.0
datasets/barred_galaxies/poisson_noise_bg_run653.00850_2_highres.fits.png,240.0,0.20440198397692874,0.2333248345589997,180.0
datasets/barred_galaxies/poisson_noise_bg_run700.01000_4_highres.fits.png,240.0,0.1163951705289713,0.1292430725619137,180.0
datasets/barred_galaxies/poisson_noise_bg_run653.01350_1_highres.fits.png,264.0,0.20874248128883116,0.23865134052902437,192.0
datasets/barred_galaxies/poisson_noise_bg_run695.01100_2_highres.fits.png,72.0,0.15820564034096568,0.1646211602746362,60.0
datasets/barred_galaxies/poisson_noise_bg_starsrun708.00800_2_highres.fits.png,192.0,0.2051908148454398,0.23781252124731447,144.0
